Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation
70.3,24741895875,12,2061824656.3,1910039314,2175770022,113928002.8,CUDA_API,cuCtxCreate_v2
27.0,9494850996,12,791237583.0,764664175,806211385,13655424.0,CUDA_API,cuCtxDestroy_v2
1.7,596516366,5532,107830.1,1469,1277044,224609.8,CUDA_API,cuEventSynchronize
0.3,93423182,60,1557053.0,5751,15449221,4066763.1,CUDA_API,cuMemHostAlloc
0.2,69584195,108,644298.1,5075,8176057,1632773.5,CUDA_API,cuMemFreeHost
0.1,30782811,162,190017.4,4495,2750793,557840.9,CUDA_API,cuMemFree_v2
0.1,23683732,162,146195.9,3279,2258483,439305.5,CUDA_API,cuMemAlloc_v2
0.1,23505287,8772,2679.6,1600,23124,1497.8,CUDA_API,cuEventRecord
0.1,21305977,606,35158.4,28512,39232,1166.2,CUDA_KERNEL,k_eam_fast
0.1,19411382,1500,12940.9,1568,29503,7381.5,MEMORY_OPER,[CUDA memcpy HtoD]
0.0,14262450,1440,9904.5,3827,42181,3679.8,CUDA_API,cuLaunchKernel
0.0,13792947,606,22760.6,16128,34335,2283.6,CUDA_KERNEL,k_energy_fast
0.0,12493358,1308,9551.5,1920,26080,5985.6,MEMORY_OPER,[CUDA memcpy DtoH]
0.0,10583261,1446,7319.0,3900,28655,2461.3,CUDA_API,cuMemcpyHtoDAsync_v2
0.0,9406600,48,195970.8,5384,1742320,501672.4,CUDA_API,cuMemAllocHost_v2
0.0,6794375,1296,5242.6,3634,18658,1358.6,CUDA_API,cuMemcpyDtoHAsync_v2
0.0,6323267,54,117097.5,16420,264657,79934.1,CUDA_API,cuMemcpyHtoD_v2
0.0,5200844,84,61914.8,59552,63904,1027.3,CUDA_KERNEL,calc_neigh_list_cell
0.0,3570917,132,27052.4,1996,593452,79462.4,CUDA_API,cuStreamSynchronize
0.0,3423194,24,142633.1,61372,229562,50331.9,CUDA_API,cuModuleLoadDataEx
0.0,867003,6,144500.5,66483,216797,56363.3,CUDA_API,cuMemGetInfo_v2
0.0,474826,12,39568.8,36694,44386,2394.9,CUDA_API,cuMemcpyDtoH_v2
0.0,445281,132,3373.3,2880,4128,303.3,CUDA_KERNEL,kernel_zero
0.0,212514,240,885.5,409,6465,739.9,CUDA_API,cuEventCreate
0.0,131323,240,547.2,261,2076,258.4,CUDA_API,cuEventDestroy_v2
0.0,68759,6,11459.8,10525,12786,842.9,CUDA_API,cuMemsetD8Async
0.0,47519,12,3959.9,3712,4224,186.5,CUDA_KERNEL,kernel_info
0.0,33782,6,5630.3,5049,6081,392.4,CUDA_API,cuInit
0.0,11295,6,1882.5,1824,2016,68.5,MEMORY_OPER,[CUDA memset]

